country,city,year,month,day,value
15,653,2022,4,9,500.0
40,614,2022,5,5,315.0
40,1538,2022,4,17,207.0
88,1087,2022,5,17,249.165
14,1711,2022,4,20,34.0
68,605,2022,4,9,9.57519
40,1192,2022,4,2,140.7
40,623,2022,5,8,103.04
40,705,2022,5,24,500.0
84,988,2022,5,1,5.8
15,653,2022,4,10,500.0
40,823,2022,4,13,155.84
40,493,2022,4,20,108.8
88,1087,2022,5,14,241.375
40,372,2022,4,17,233.0
40,385,2022,4,4,147.0
40,868,2022,5,20,58.0
14,1543,2022,5,17,129.0
4,1687,2022,5,6,2.7
40,385,2022,4,5,208.0
84,585,2019,9,19,6.0
40,696,2022,4,18,222.0
40,604,2022,4,10,70.0
40,614,2022,4,24,71.0
40,892,2022,5,5,500.0
33,656,2022,4,17,21.0
40,1101,2022,4,28,270.0
40,160,2022,5,15,88.0
40,1466,2022,4,6,162.52
40,161,2022,5,25,75.5
40,1326,2022,4,26,217.2
40,696,2022,4,7,202.0
40,696,2022,4,18,222.0
40,1317,2022,3,31,83.44
47,916,2022,4,10,383.0
67,947,2022,4,6,500.0
6,491,2022,5,6,106.0
40,1466,2022,5,5,117.01
40,206,2022,4,8,212.03
40,892,2022,5,4,500.0
40,160,2022,4,29,279.0
29,1210,2022,4,3,7.0
14,1712,2022,4,29,52.0
40,661,2022,5,13,63.24
14,1273,2022,4,10,41.0
40,1780,2021,7,13,500.0
20,156,2022,4,10,5.0
37,809,2022,4,22,54.0
40,1101,2022,4,24,500.0
84,766,2022,5,9,23.1
28,1107,2019,4,18,104.2
40,160,2022,4,5,268.0
40,164,2022,5,19,72.76
40,43,2022,4,21,56.8
40,372,2022,5,19,123.1
14,1273,2022,5,19,60.0
40,201,2022,3,31,193.0
40,570,2022,4,18,93.8
40,705,2022,4,2,56.0
40,661,2022,4,15,111.85
40,1523,2022,5,24,54.48
84,1901,2022,5,11,9.8
63,703,2022,4,10,1.704444
41,159,2022,4,12,500.0
40,81,2022,5,16,80.72
14,1309,2022,5,26,84.0
14,441,2022,5,18,275.0
40,1146,2022,4,29,500.0
40,914,2022,4,30,187.26
14,441,2022,5,17,323.0
79,1677,2022,3,30,18.0
84,468,2022,5,21,1.0
40,43,2022,3,30,118.55
29,1649,2022,4,26,9.7
40,1624,2022,3,30,216.0
40,604,2022,4,3,249.0
40,1466,2022,4,13,204.06
7,1184,2022,4,3,3.62
40,160,2022,4,4,214.0
60,1912,2021,4,14,207.95
47,916,2022,4,10,383.0
60,1912,2021,4,14,207.95
40,858,2022,4,3,27.88
74,877,2022,5,22,360.0
40,596,2022,5,17,264.5
79,1343,2022,4,8,85.0
84,995,2022,5,26,3.2
40,848,2022,4,29,377.63
47,916,2022,5,14,180.0
40,848,2022,4,28,500.0
40,688,2022,4,15,114.98
43,258,2022,5,3,500.0
40,892,2022,5,4,500.0
40,49,2022,5,12,65.6
40,1624,2022,3,30,216.0
40,207,2022,4,8,141.4
60,354,2021,9,16,446.53
74,877,2022,5,12,297.0
84,838,2022,4,2,16.0
40,821,2022,5,26,13.0
40,482,2022,4,16,146.0
40,805,2022,4,16,57.0
40,186,2022,4,21,133.0
40,1084,2022,3,30,369.5
40,1226,2022,4,10,110.0
40,1151,2022,5,21,101.0
40,614,2022,4,11,352.0
40,640,2022,4,9,151.0
40,1146,2022,5,7,500.0
40,1624,2022,4,25,62.0
40,49,2022,4,27,86.0
28,1796,2020,6,10,10.1
28,544,2022,5,4,16.7
60,44,2021,9,23,323.95
40,876,2022,4,17,114.13
40,562,2022,4,6,283.7
40,1806,2022,4,13,72.76
40,245,2022,5,14,366.28
40,493,2022,4,6,139.17
