country,city,year,month,day,value
40,206,2022,4,9,215.07
40,161,2022,4,18,168.67
40,207,2022,4,23,141.2
40,848,2022,4,3,500.0
40,661,2022,5,5,423.63
40,509,2022,4,25,431.6
11,1028,2022,5,17,7.5
40,640,2022,5,4,500.0
40,696,2022,4,12,230.0
84,281,2022,4,30,5.0
68,1264,2022,5,2,53.5104
28,1403,2022,5,19,4.3
19,1132,2022,5,12,14.0
40,1147,2022,4,7,105.0
84,221,2022,5,1,7.4
40,1088,2022,4,15,107.0
69,975,2022,5,1,8.0
40,1154,2022,4,6,30.54
25,754,2022,5,10,0.0
40,482,2016,11,9,241.0
40,696,2022,4,27,233.0
84,1858,2022,4,15,7.2
60,126,2022,5,1,20.0
84,841,2022,4,24,3.0
84,1008,2022,5,6,14.6
40,1466,2022,5,6,275.97
40,213,2022,3,31,260.0
40,1778,2022,5,16,118.6
40,562,2022,5,26,212.8
40,1466,2022,5,6,275.97
37,809,2022,3,30,500.0
40,562,2022,4,9,317.1
40,1326,2018,2,22,203.0
40,562,2022,5,5,222.8
40,848,2022,4,4,500.0
40,1538,2022,5,7,102.0
84,873,2022,4,21,4.0
67,947,2022,5,6,111.0
84,934,2022,5,21,4.4
40,564,2022,5,21,204.2
40,372,2022,4,17,233.0
40,1015,2022,4,17,123.48
79,1324,2022,4,6,48.0
84,309,2022,5,6,442.4
55,355,2022,4,4,4.18
40,705,2022,5,26,500.0
40,1313,2022,4,13,128.23
40,1896,2022,4,30,423.1
40,1896,2022,5,2,68.1
40,245,2022,5,7,87.25
69,563,2022,5,20,6.9
40,160,2022,4,13,241.0
88,1087,2022,5,17,249.165
67,1336,2022,3,30,238.0
15,1607,2022,5,23,202.0
40,493,2022,4,9,147.67
40,186,2022,5,23,155.0
40,43,2022,4,6,114.15
71,631,2022,3,30,64.63833
84,308,2022,4,26,12.4
84,1839,2022,4,13,37.1
40,1896,2022,4,9,109.0
14,394,2022,5,5,104.0
84,1027,2022,4,2,12.8
78,1157,2022,5,5,320.0
28,1795,2022,5,11,4.4
59,113,2022,4,14,7.64
40,696,2022,4,2,216.0
43,1485,2020,5,5,6.0
